CompanySizeOwnerV2,Ability to do complete heat loss calculations and surveys,Ability to design heat pump systems,Ability to do a satisfactory install unaccompanied (with a check at the end),Ability to do individual elements of an install unaccompanied (with a check between each part),Admin and paperwork related to the project they’re working on,Customer service,Quotes and sales,Other,Other-not relevant,Don’t know,Total
Sole trader,8,10,19,22,3,11,1,0,0,4,78
Small,27,27,61,75,11,29,1,2,2,5,240
Medium and large,11,9,33,32,7,21,4,0,0,0,117
Total,46,46,113,129,21,61,6,2,2,9,435
