SectorTime,It was hard to find the right apprentice to fit with the role,I didn’t know where to recruit an apprentice from,There are no colleges delivering apprenticeship training of a high enough quality near me,There were no colleges delivering relevant apprenticeship training near me,Having an apprentice has slowed down my work,Having an apprentice has cost my business too much,It took too long to recruit an apprentice,I needed more guidance on how to properly support an apprentice in their work,I needed more guidance on the administration associated with working with an apprentice,I don’t face any challenges,Other,Total
Don't work with heat pumps,0,0,0,0,0,0,0,0,0,0,0,0
Under 3 years,10,0,5,2,3,8,0,2,1,3,0,34
3-5 years,4,0,2,0,2,2,0,1,0,1,0,12
5-10 years,5,1,3,3,0,2,2,0,1,3,0,20
Over 10 years,13,0,14,11,3,6,0,0,1,13,0,61
Total,32,1,24,16,8,18,2,3,3,20,0,127
