EmploymentType,Ability to do complete heat loss calculations and surveys,Ability to design heat pump systems,Ability to do a satisfactory install unaccompanied (with a check at the end),Ability to do individual elements of an install unaccompanied (with a check between each part),Admin and paperwork related to the project they’re working on,Customer service,Quotes and sales,Other,Other-not relevant,Don’t know,Total
Company owner,38,36,94,107,18,50,5,2,2,5,357
Contractor,0,0,0,0,0,0,0,0,0,0,0
Employee,0,0,0,0,0,0,0,0,0,0,0
Sole trader,8,10,19,22,3,11,1,0,0,4,78
Total,46,46,113,129,21,61,6,2,2,9,435
