EmploymentType,Financial support for salary for a limited period,Financial support for onboarding costs,Financial support for training,Certainty that the person will work with my company for a defined period,Other,Other-not relevant,I would not choose to take on such a person,Total
Company owner,43,11,17,30,2,2,44,149
Sole trader,7,2,3,2,0,0,21,35
Total,50,13,20,32,2,2,65,184
