CompanySizeOwnerV2,It was hard to find the right apprentice to fit with the role,I didn’t know where to recruit an apprentice from,There are no colleges delivering apprenticeship training of a high enough quality near me,There were no colleges delivering relevant apprenticeship training near me,Having an apprentice has slowed down my work,Having an apprentice has cost my business too much,It took too long to recruit an apprentice,I needed more guidance on how to properly support an apprentice in their work,I needed more guidance on the administration associated with working with an apprentice,I don’t face any challenges,Other,Total
Sole trader,3,0,2,0,1,3,0,0,0,2,0,11
Small,15,0,10,7,5,11,0,3,1,7,0,59
Medium and large,14,1,12,9,2,4,2,0,2,11,0,57
Total,32,1,24,16,8,18,2,3,3,20,0,127
