CompanySizeOwnerV2,Shows commitment to the job,I would be more confident in their ability to do the job,I would save time on training them,I would save money on training them,Other,I see no advantages,Total
Sole trader,2,26,7,0,0,3,38
Small,14,77,5,1,0,12,109
Medium and large,7,31,9,1,0,6,54
Total,23,134,21,2,0,21,201
