SectorTime,It’s hard to find the right apprentice to fit with the role,I don’t know where to recruit an apprentice from,There are no colleges delivering relevant apprenticeship training near me,There’s no colleges delivering apprenticeship training of a high enough quality near me,Having an apprentice will slow down my work,Having an apprentice will cost my business too much,It takes too long to recruit an apprentice,I need more guidance on how to properly support an apprentice in their work,I need more guidance on the administration associated with working with an apprentice,Other,I don’t forsee any challenges,Total
Don't work with heat pumps,0,0,0,0,0,0,0,0,0,0,0,0
Under 3 years,30,11,8,7,17,18,2,12,7,0,3,115
3-5 years,5,0,3,6,4,4,0,2,2,0,2,28
5-10 years,12,0,2,3,6,8,1,3,3,1,0,39
Over 10 years,16,2,8,15,6,13,1,5,6,2,5,79
Total,63,13,21,31,33,43,4,22,18,3,10,261
