EmploymentType,Shows commitment to the job,I would be more confident in their ability to do the job,I would save time on training them,I would save money on training them,Other,I see no advantages,Total
Company owner,21,108,14,2,0,18,163
Sole trader,2,26,7,0,0,3,38
Total,23,134,21,2,0,21,201
