EmploymentType,Practical general plumbing skills,Theoretical general plumbing knowledge,Practical skills specifically in heat pump installation,Theoretical skills specifically in heat pump installation,General knowledge in heating system design,Specific knowledge in low temperature heating system design,Specific knowledge related to ground source heat pump installation,Ability to do accurate heat loss calculations,Customer service and communication skills,Business and sales skills,Knowledge of equality and diversity,Knowledge of health and safety,Other,Don't know,Total
Company owner,29,5,50,13,27,23,1,0,5,0,0,0,8,2,163
Sole trader,14,1,4,2,4,5,0,0,3,0,0,0,0,5,38
Total,43,6,54,15,31,28,1,0,8,0,0,0,8,7,201
