DesiredIncrease,Yes,"No, but I intend on doing so in the next 12 months","No, and I do not intend to do so in the next 12 months",Total
Fewer installs,3,0,7,10
Same amount of installs,4,4,8,16
More installs,69,40,61,170
Don't know,2,1,2,5
Total,78,45,78,201
