CompanySizeOwnerV2,Yes,"No, but I intend on doing so in the next 12 months","No, and I do not intend to do so in the next 12 months",Total
Sole trader,6,9,23,38
Small,34,28,47,109
Medium and large,38,8,8,54
Total,78,45,78,201
