EmploymentType,Not at all confident,Not very confident,Somewhat confident,Confident,Very confident,Don't know,Total
Company owner,55,44,39,9,10,6,163
Sole trader,15,8,12,1,0,2,38
Total,70,52,51,10,10,8,201
