NumberInstalls,Yes,"No, but I intend on doing so in the next 12 months","No, and I do not intend to do so in the next 12 months",Total
9 or fewer,22,27,49,98
10-24,20,8,8,36
25-49,15,4,8,27
50 or more,19,3,3,25
Total,78,45,78,201
