CompanySizeOwnerV2,Very unlikely,Unlikely,Neutral,Likely,Very likely,Don't know,Total
Sole trader,21,10,4,2,0,1,38
Small,43,32,31,2,0,1,109
Medium and large,13,15,15,5,5,1,54
Total,77,57,50,9,5,3,201
