SectorTime,Yes,"No, but I intend on doing so in the next 12 months","No, and I do not intend to do so in the next 12 months",Total
Don't work with heat pumps,0,0,0,0
Under 3 years,20,23,29,72
3-5 years,5,5,8,18
5-10 years,14,5,16,35
Over 10 years,39,12,25,76
Total,78,45,78,201
