CompanySizeOwnerV2,It’s hard to find the right apprentice to fit with the role,I don’t know where to recruit an apprentice from,There are no colleges delivering relevant apprenticeship training near me,There’s no colleges delivering apprenticeship training of a high enough quality near me,Having an apprentice will slow down my work,Having an apprentice will cost my business too much,It takes too long to recruit an apprentice,I need more guidance on how to properly support an apprentice in their work,I need more guidance on the administration associated with working with an apprentice,Other,I don’t forsee any challenges,Total
Sole trader,14,5,1,4,10,15,0,4,4,0,4,61
Small,42,7,13,23,21,23,4,16,12,2,5,168
Medium and large,7,1,7,4,2,5,0,2,2,1,1,32
Total,63,13,21,31,33,43,4,22,18,3,10,261
