Location,England,England,England,England,England,England,England,England,England,England,Northern Ireland,Scotland,Scotland,Scotland,Scotland,Scotland,UK-wide business,Wales,Wales,Wales,Wales,Wales,Total
Sublocation,East Midlands,East of England,England-wide business,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber,Northern Ireland-wide business,Central Belt,Highlands & Islands,North of Scotland,Scotland-wide business,Southern Scotland,UK-wide business,Mid Wales,North Wales,South East Wales,South West Wales,Wales-wide business,
"80. Do you currently employ an apprentice who works on heat pump installations, or have you done so in the last 12 months?",,,,,,,,,,,,,,,,,,,,,,,
"No, and I do not intend to do so in the next 12 months",4,7,1,6,2,4,12,10,6,6,1,4,3,0,1,3,5,1,1,2,2,0,81
"No, but I intend on doing so in the next 12 months",2,1,2,7,1,4,12,3,3,2,0,1,0,1,1,0,6,0,0,0,1,2,49
Yes,5,8,3,1,1,4,16,16,1,8,0,3,2,1,2,1,5,0,1,1,1,1,81
Total,11,16,6,14,4,12,40,29,10,16,1,8,5,2,4,4,16,1,2,3,4,3,211
