CompanySizeOwnerV2,Relationship with existing customers,No demand from other customers,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,Only work with certain heat pump models,Other,Don't know,Total
Sole trader,3,2,3,3,0,0,0,11
Small,5,1,6,2,0,0,0,14
Medium and large,3,1,13,7,0,2,0,26
Total,11,4,22,12,0,2,0,51
