CompanySizeOwnerV2,Too little demand from customers,Not profitable enough,Lack the necessary skills and expertise,Hard to fit into work schedule,The manufacturer does it,Other,Don't know,Total
Sole trader,7,0,5,2,0,1,0,15
Small,8,1,12,3,2,0,0,26
Medium and large,0,0,2,0,0,0,1,3
Total,15,1,19,5,2,1,1,44
