CompanySizeEmployeeV2,Relationship with existing customers,No demand from other customers,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,Only work with certain heat pump models,Other,Don't know,Total
25 or fewer,5,1,13,0,0,1,3,23
Over 25,8,0,5,0,4,2,2,21
Don't know,0,0,0,0,0,0,0,0
Total,13,1,18,0,4,3,5,44
