CompanySizeOwnerV2,Difficult to find the skills you need,Low levels of customer demand,Hard to make a profit from this work,Difficult to fit this work into your work schedule,No challenges,Poor original installations,Not enough manufacturer support,Difficulty sourcing components,Other,Don't know,Total
Sole trader,8,12,2,6,0,0,0,0,1,2,31
Small,20,28,17,23,1,3,3,1,4,4,104
Medium and large,24,6,15,14,1,1,2,1,1,6,71
Total,52,46,34,43,2,4,5,2,6,12,206
