CompanySizeOwnerV2,Don't know,Hard to fit into work schedule,Inadequate or slow support from manufacturers,Lack the necessary skills and expertise,Not profitable enough,Other,The manufacturer does it,Too little demand from customers,Total
Sole trader,0,3,0,7,2,1,1,9,23
Small,0,6,2,16,3,1,6,9,43
Medium and large,1,0,0,4,0,0,0,0,5
Total,1,9,2,27,5,2,7,18,71
