EmploymentType,Don't know,Hard to fit into work schedule,Inadequate or slow support from manufacturers,Lack the necessary skills and expertise,Not profitable enough,Other,The manufacturer does it,Too little demand from customers,Total
Company owner,1,6,2,20,3,1,6,9,48
Contractor,1,3,1,4,0,1,4,6,20
Employee,0,0,2,3,1,1,0,0,7
Sole trader,0,3,0,7,2,1,1,9,23
Total,2,12,5,34,6,4,11,24,98
