CompanySizeOwnerV2,Don't know,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,No demand from other customers,Only work with certain heat pump models,Other,Relationship with existing customers,Total
Sole trader,0,3,7,3,0,0,5,18
Small,0,11,5,3,0,0,11,30
Medium and large,0,13,7,1,0,2,3,26
Total,0,27,19,7,0,2,19,74
