EmploymentType,Don't know,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,No demand from other customers,Only work with certain heat pump models,Other,Relationship with existing customers,Total
Company owner,0,24,12,4,0,2,14,56
Contractor,0,7,3,1,0,1,3,15
Employee,5,24,0,2,4,3,18,56
Sole trader,0,3,7,3,0,0,5,18
Total,5,58,22,10,4,6,40,145
