EmploymentType,Relationship with existing customers,No demand from other customers,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,Only work with certain heat pump models,Other,Don't know,Total
Company owner,8,2,19,9,0,2,0,40
Contractor,0,0,4,3,0,1,0,8
Employee,13,1,18,0,4,3,5,44
Sole trader,3,2,3,3,0,0,0,11
Total,24,5,44,15,4,6,5,103
