EmploymentType,Only for heat pump systems that I/my company/the business has installed,"For all heat pump systems, regardless of who originally installed it",Total
Company owner,8,12,20
Contractor,4,3,7
Employee,7,4,11
Sole trader,5,5,10
Total,24,24,48
