CompanySizeEmployeeV2,Only for heat pump systems that I/my company/the business has installed,"For all heat pump systems, regardless of who originally installed it",Total
25 or fewer,4,2,6
Over 25,3,2,5
Don't know,0,0,0
Total,7,4,11
