CompanySizeEmployeeV2,Only for heat pump systems that I/my company/the business has installed,"For all heat pump systems, regardless of who originally installed it",Total
25 or fewer,18,35,53
Over 25,16,21,37
Don't know,0,1,1
Total,34,57,91
