EmploymentType,Only for heat pump systems that I/my company/the business has installed,"For all heat pump systems, regardless of who originally installed it",Total
Company owner,25,101,126
Contractor,5,13,18
Employee,34,57,91
Sole trader,6,17,23
Total,70,188,258
