CompanySizeOwnerV2,Growing demand from customers,Servicing is increasingly profitable work,Now have access to the relevant skills and expertise,Issues getting the manufacturer to sort problems or visit homes,Other,Don't know,Total
Sole trader,6,4,5,0,0,0,15
Small,9,7,6,1,2,1,26
Medium and large,2,2,0,0,0,1,5
Total,17,13,11,1,2,2,46
