CompanySizeOwnerV2,Too little demand from customers,Not profitable enough,Lack the necessary skills and expertise,The manufacturer does it,It’s difficult to manage / schedule,Inadequate or slow support from manufacturers,Other,Don't know,Total
Sole trader,2,2,2,1,1,0,0,0,8
Small,1,2,4,4,3,2,1,0,17
Medium and large,0,0,2,0,0,0,0,0,2
Total,3,4,8,5,4,2,1,0,27
