CompanySizeOwnerV2,Relationship with existing customers,No demand from other customers,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,Other,Don't know,Total
Sole trader,2,1,0,4,0,0,7
Small,6,2,5,3,0,0,16
Medium and large,0,0,0,0,0,0,0
Total,8,3,5,7,0,0,23
