EmploymentType,Relationship with existing customers,No demand from other customers,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,Other,Don't know,Total
Company owner,6,2,5,3,0,0,16
Contractor,3,1,3,0,0,0,7
Employee,5,1,6,0,0,0,12
Sole trader,2,1,0,4,0,0,7
Total,16,5,14,7,0,0,42
