CompanySizeEmployeeV2,Relationship with existing customers,No demand from other customers,Don’t want to take responsibility for other installers’ heat pump installations,I only work on equipment I understand or have been trained in,Other,Don't know,Total
25 or fewer,3,1,3,0,0,0,7
Over 25,2,0,3,0,0,0,5
Don't know,0,0,0,0,0,0,0
Total,5,1,6,0,0,0,12
