CompanySizeEmployeeV2,Yes,"No, but we/I intend to offer it in the next 12 months","No, and we/I do not intend to start offering this service in the next 12 months",We/I don't know,Total
25 or fewer,53,6,4,2,65
Over 25,37,5,1,3,46
Don't know,1,0,0,0,1
Total,91,11,5,5,112
