CompanySizeOwnerV2,Only for heat pump systems that I/my company/the business has installed,"For all heat pump systems, regardless of who originally installed it",Total
Sole trader,5,5,10
Small,8,9,17
Medium and large,0,3,3
Total,13,17,30
