EmploymentType,Yes,"No, but we/I intend to offer it in the next 12 months","No, and we/I do not intend to start offering this service in the next 12 months",We/I don't know,Total
Company owner,126,20,13,4,163
Contractor,18,7,5,2,32
Employee,91,11,5,5,112
Sole trader,23,10,5,0,38
Total,258,48,28,11,345
