EmploymentType,Too little demand from customers,Not profitable enough,Lack the necessary skills and expertise,The manufacturer does it,It’s difficult to manage / schedule,Inadequate or slow support from manufacturers,Other,Don't know,Total
Company owner,1,2,6,4,3,2,1,0,19
Contractor,2,0,1,2,0,1,1,1,8
Employee,0,1,3,0,0,2,1,0,7
Sole trader,2,2,2,1,1,0,0,0,8
Total,5,5,12,7,4,5,3,1,42
